,0
101,-6.549985086314771
102,-6.6009370679853845
103,-6.660746102561734
104,-6.659125666050151
105,-6.685391067514976
106,-6.5215129500816955
107,-6.599173474226181
108,-6.575150295875204
109,-6.663446050038333
110,-6.600776557529231
111,-6.62787192827718
112,-6.751879584447668
113,-6.755850532347019
114,-6.762110839449951
115,-6.727090683971003
116,-6.677630646969402
117,-6.668860555244663
118,-6.701111303513798
119,-6.770036672833695
120,-6.6904430931431245
121,-6.643366589636964
122,-6.636192790866566
123,-6.5893688801816594
124,-6.520110214582331
125,-6.564595685250479
126,-6.559911434484243
127,-6.645122486876023
128,-6.563346831914998
129,-6.5805879211916665
130,-6.562664377671101
131,-6.317022514703044
132,-6.364070591211259
133,-6.44372518316239
134,-6.33002914368403
135,-6.339227114319183
136,-6.384857546635786
137,-6.461595822655287
138,-6.474925603311056
139,-6.349452552359858
140,-6.3859868920254135
141,-6.231634320291513
142,-5.939565955758535
143,-5.693157802751235
144,-5.381284199195849
145,-5.497937800388341
146,-5.521786090590362
147,-5.377345303748428
148,-5.470041769687294
149,-5.608026527655544
150,-5.78754205020469
151,-7.15288390306553
152,-7.051322802958665
153,-6.578812975054109
154,-6.532306283746509
155,-6.481237037639586
156,-6.3345272729939195
157,-5.967176119204157
158,-5.703293932136029
159,-5.633327476936333
160,-5.641224353364664
161,-5.665061586968376
162,-5.527023645648702
163,-5.286442862944587
164,-5.193471474841538
165,-5.3337277310000255
166,-5.340523165939929
167,-5.216747910666943
168,-5.099688055342568
169,-5.005036775225821
170,-4.98544061362982
171,-4.784217033247778
172,-4.955025576566855
173,-4.855811270099166
174,-4.7301805723328085
175,-4.747798581889059
176,-4.9082620847695875
177,-5.0762707274481595
178,-5.086028360885365
179,-5.233666192290205
180,-5.250955045082095
181,-5.288220560287974
182,-5.234196244494385
183,-5.341173174361772
184,-5.151785775250765
185,-5.3093832388307725
186,-5.427421058572193
187,-5.512941796570308
188,-5.621875014297068
189,-5.70644816238448
190,-5.616214211877434
191,-5.705399404850683
192,-5.799397560649584
193,-5.875600523388939
194,-5.9539218130579465
195,-6.04507296710879
196,-6.11928852425027
197,-6.186919221540929
198,-6.225598721804151
199,-6.248233220920621
200,-6.28119959451273
201,-6.312324810423551
202,-6.338484887243478
203,-6.336480223600469
204,-6.3788904159878115
205,-6.415122009103701
206,-6.447985929639203
207,-6.465997175860957
208,-6.494327600772536
209,-6.471061649207404
210,-6.481423606521723
211,-6.4552966745084674
212,-6.455662243754988
213,-6.44139861404756
214,-6.41504448632821
215,-6.409165829256183
216,-6.4336443492197155
217,-6.196213481112779
218,-5.89176912578361
219,-5.948522415584469
220,-5.940697710620263
221,-5.986331880319561
222,-6.026525693703471
223,-6.097180076861325
224,-5.941192613216082
225,-5.9545487581768795
226,-5.99303538130672
227,-5.663853482506457
228,-5.679937251050693
229,-5.59322225629537
230,-5.678101855127494
231,-5.768730185529581
232,-5.860619797091093
233,-5.834187840091291
234,-5.8843229029247235
235,-5.877756143848481
236,-5.901842077709947
237,-5.919023992664003
238,-5.659988084436649
239,-5.289884801035597
240,-5.275432112583779
241,-5.365906486489371
242,-5.203174574521327
243,-5.08822343381969
244,-4.926328553279705
245,-4.99257374741044
246,-4.810536676857389
247,-4.937260525302403
248,-4.625916510357367
249,-4.475934992203575
250,-4.618018589553253
251,-4.501412850993132
252,-4.6710222643526835
253,-4.548216536555643
254,-4.683869735634968
255,-4.797861530493522
