Ep   25/1500 | Reward= -427.51 | EpBest=  3625.7万 | GlobalBest=  2828.6万 | LPSP= 0.45% | LREG= 2.59% | Imp= 6 | MILP= 28 | ALoss=-0.1090 CLoss=22987.5078 | LR=1.0e-04 | Time=445s
Ep   26/1500 | Reward= -100.08 | EpBest=  2850.3万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 1.74% | Imp= 8 | MILP= 25 | ALoss=-0.1124 CLoss=282.0618 | LR=1.0e-04 | Time=459s
Ep   27/1500 | Reward= -132.82 | EpBest=  3665.9万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 6.77% | Imp=10 | MILP= 28 | ALoss=-0.0957 CLoss=442.0434 | LR=1.0e-04 | Time=473s
Ep   28/1500 | Reward=  -90.77 | EpBest=  3023.8万 | GlobalBest=  2828.6万 | LPSP= 0.06% | LREG= 1.63% | Imp= 8 | MILP= 24 | ALoss=-0.1201 CLoss=272.4881 | LR=1.0e-04 | Time=487s
Ep   29/1500 | Reward= -731.19 | EpBest=  4185.5万 | GlobalBest=  2828.6万 | LPSP= 1.24% | LREG= 6.17% | Imp= 2 | MILP= 20 | ALoss=-0.0948 CLoss=83034.6820 | LR=1.0e-04 | Time=497s
Ep   30/1500 | Reward=  -64.56 | EpBest=  3067.6万 | GlobalBest=  2828.6万 | LPSP= 0.07% | LREG= 3.22% | Imp= 4 | MILP= 19 | ALoss=-0.1199 CLoss=289.9937 | LR=1.0e-04 | Time=507s
Ep   31/1500 | Reward=  -87.74 | EpBest=  3067.4万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 4.43% | Imp= 5 | MILP= 26 | ALoss=-0.0944 CLoss=308.6485 | LR=1.0e-04 | Time=525s
Ep   32/1500 | Reward= -928.46 | EpBest=  3646.9万 | GlobalBest=  2828.6万 | LPSP= 0.22% | LREG= 5.61% | Imp= 6 | MILP= 37 | ALoss=-0.1171 CLoss=37554.8453 | LR=1.0e-04 | Time=553s
Ep   33/1500 | Reward=  -80.74 | EpBest=  3552.9万 | GlobalBest=  2828.6万 | LPSP= 0.51% | LREG= 5.42% | Imp= 1 | MILP= 19 | ALoss=-0.0994 CLoss=409.8589 | LR=1.0e-04 | Time=566s
Ep   34/1500 | Reward=  -90.27 | EpBest=  2948.2万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 2.81% | Imp= 4 | MILP= 23 | ALoss=-0.1016 CLoss=270.4999 | LR=1.0e-04 | Time=578s
Ep   35/1500 | Reward= -161.59 | EpBest=  3800.6万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 8.61% | Imp= 7 | MILP= 33 | ALoss=-0.1032 CLoss=356.1894 | LR=1.0e-04 | Time=593s
Ep   36/1500 | Reward=  -69.57 | EpBest=  3194.9万 | GlobalBest=  2828.6万 | LPSP= 0.00% | LREG= 5.39% | Imp= 3 | MILP= 19 | ALoss=-0.0991 CLoss=338.0813 | LR=1.0e-04 | Time=603s
